vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,11,1,0.0909091,0.0162318,0.377365,-0.688693,-0.492514,"[-0.6887, -0.4925)",-0.570183,-0.533324,coarse,False,True
1,2,72,18,0.25,0.164389,0.360937,-0.492514,-0.296335,"[-0.4925, -0.2963)",-0.370632,-0.362417,coarse,False,False
2,3,202,47,0.232673,0.179724,0.295601,-0.296335,-0.100156,"[-0.2963, -0.1002)",-0.183197,-0.170137,coarse,False,False
3,4,335,85,0.253731,0.210106,0.302941,-0.100156,0.0960227,"[-0.1002, 0.09602)",0.0058721,0.0034574,coarse,False,False
4,5,164,56,0.341463,0.273259,0.416925,0.0960227,0.190148,"[0.09602, 0.1901)",0.139797,0.13414,fine_tail,True,False
5,6,154,45,0.292208,0.226136,0.368394,0.190148,0.284274,"[0.1901, 0.2843)",0.233577,0.229378,fine_tail,True,False
6,7,106,36,0.339623,0.256488,0.433975,0.284274,0.3784,"[0.2843, 0.3784)",0.329594,0.323917,fine_tail,True,False
7,8,95,21,0.221053,0.149372,0.314416,0.3784,0.472525,"[0.3784, 0.4725)",0.423656,0.427637,fine_tail,True,False
8,9,61,14,0.229508,0.141931,0.349136,0.472525,0.566651,"[0.4725, 0.5667)",0.519674,0.520066,fine_tail,True,False
9,10,31,6,0.193548,0.0918688,0.362806,0.566651,0.660777,"[0.5667, 0.6608)",0.595843,0.584658,fine_tail,True,False
10,11,6,1,0.166667,0.0300526,0.563509,0.660777,0.754902,"[0.6608, 0.7549)",0.726993,0.740258,fine_tail,True,True
