bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,50,5,7,38,12,0.416667,0.193257,0.680493,0.583333,0.319507,0.806743,0.0,0.4365,0.791367,,
2,50,11,15,24,26,0.423077,0.255442,0.610517,0.576923,0.389483,0.744558,0.8182,1.213733,1.4615,,
3,50,10,16,24,26,0.384615,0.224284,0.574655,0.615385,0.425345,0.775716,1.48394,1.696392,1.8,,
4,49,5,19,25,24,0.208333,0.092447,0.404708,0.791667,0.595292,0.907553,1.8,1.9,2.0,,
5,50,9,8,33,17,0.529412,0.309629,0.738352,0.470588,0.261648,0.690371,2.0026,2.129177,2.3611,,
6,50,12,12,26,24,0.5,0.314271,0.685729,0.5,0.314271,0.685729,2.3611,2.5309,2.71465,,
7,50,10,13,27,23,0.434783,0.256344,0.63189,0.565217,0.36811,0.743656,2.7222,2.90455,3.100825,,
8,49,9,8,32,17,0.529412,0.309629,0.738352,0.470588,0.261648,0.690371,3.100825,3.16665,3.35385,,
9,50,9,10,31,19,0.473684,0.273295,0.682925,0.526316,0.317075,0.726705,3.35385,3.54545,3.75,,
10,50,14,14,22,28,0.5,0.326328,0.673672,0.5,0.326328,0.673672,3.75,4.077225,4.3636,,
11,50,9,24,17,33,0.272727,0.150673,0.442179,0.727273,0.557821,0.849327,4.375,4.6,5.0,,
12,49,10,22,17,32,0.3125,0.179524,0.48567,0.6875,0.51433,0.820476,5.0,5.368025,5.755075,,
13,50,18,16,16,34,0.529412,0.367364,0.685487,0.470588,0.314513,0.632636,5.76045,6.095783,6.6667,,
14,50,12,9,29,21,0.571429,0.365462,0.755303,0.428571,0.244697,0.634538,6.666917,7.125663,7.75,,
15,50,15,3,32,18,0.833333,0.607775,0.941635,0.166667,0.058365,0.392225,7.770578,8.305575,9.21875,,
16,49,16,6,27,22,0.727273,0.518479,0.868494,0.272727,0.131506,0.481521,9.2216,11.9088,27.0,,
