band,slide_label,top_lo,top_hi,pct_floor,pct_ceil,perf_z_cut_outer,perf_z_cut_inner,band_n,total_drafts,draft_rate_band,min_bin_n,plateau_rate,tail_rate,downturn_visible,knee_tj_peak,knee_rate_peak,knee_bin_peak,knee_tj_tail_rule,ok_for_overlay
top 7%,"$\hat{A}_i \in (93\%, \infty)$",0,7,93,100,1.64674,,1596,246,0.154135,0,0.0623274,0.266667,True,1.35178,0.294118,8,2.49633,True
top 7–15%,"$\hat{A}_i \in (85\%, 93\%]$",7,15,85,93,1.16138,1.64674,1824,162,0.0888158,0,0.0342392,0.34375,False,1.35178,0.161765,8,,True
top 15–25%,"$\hat{A}_i \in (75\%, 85\%]$",15,25,75,85,0.734043,1.16138,2279,109,0.047828,0,0.0407616,0.0625,False,0.965718,0.12426,7,,True
top 25–40%,"$\hat{A}_i \in (60\%, 75\%]$",25,40,60,75,0.253793,0.734043,3419,67,0.0195964,0,0.00915463,0,True,1.35178,0.0540541,8,,True
