row_type,draft_mass_pct,z_cut,n_drafted_at_or_below,n_drafted_total,tier_pct,panel_top_pct,band,top_lo,top_hi,z_cut_outer,z_cut_inner,band_n,band_drafts,draft_share_of_total_pct,band_draft_rate
draft_mass,5,0.284468,22,424,,,,,,,,,,,
draft_mass,10,0.486204,43,424,,,,,,,,,,,
draft_mass,15,0.650634,64,424,,,,,,,,,,,
draft_mass,20,0.772438,85,424,,,,,,,,,,,
draft_mass,25,0.867241,106,424,,,,,,,,,,,
draft_mass,30,0.972439,127,424,,,,,,,,,,,
draft_mass,35,1.11166,149,424,,,,,,,,,,,
draft_mass,40,1.21594,170,424,,,,,,,,,,,
draft_mass,45,1.29968,191,424,,,,,,,,,,,
draft_mass,50,1.40657,212,424,,,,,,,,,,,
draft_mass,55,1.46883,233,424,,,,,,,,,,,
draft_mass,60,1.58844,254,424,,,,,,,,,,,
draft_mass,65,1.70911,275,424,,,,,,,,,,,
draft_mass,70,1.8288,297,424,,,,,,,,,,,
draft_mass,75,1.96826,318,424,,,,,,,,,,,
draft_mass,80,2.10357,339,424,,,,,,,,,,,
draft_mass,85,2.23111,360,424,,,,,,,,,,,
draft_mass,90,2.45442,381,424,,,,,,,,,,,
draft_mass,95,2.77923,402,424,,,,,,,,,,,
draft_mass_tier,70,1.8288,297,424,30,4.95961,,,,,,,,,
draft_mass_tier,40,1.21594,170,424,30,13.5008,,,,,,,,,
draft_mass_tier,10,0.486204,43,424,30,32.0563,,,,,,,,,
overlay_band,,,,,,,top 4.95961%,0,4.95961,1.8285,,835,127,29.9528,0.152096
overlay_band,,,,,,,top 4.95961–13.5008%,4.95961,13.5008,1.21594,1.8285,1438,127,29.9528,0.0883171
overlay_band,,,,,,,top 13.5008–32.0563%,13.5008,32.0563,0.486109,1.21594,3124,127,29.9528,0.040653
