season,rho,n_seeds,h_sort_sim_mean,h_sort_sim_std,global_wss_sim_mean,h_sort_empirical,h_sort_abs_err
2015,0.0,8,0.10603186617535766,0.005242438105712339,5387.438693743363,0.11355948709457486,0.007527620919217201
2015,0.05,8,0.11243410016476586,0.007862767814804003,5348.856062197681,0.11355948709457486,0.0011253869298089997
2015,0.07500000000000001,8,0.11284921518908048,0.006750215894048067,5346.354399487648,0.11355948709457486,0.0007102719054943862
2015,0.07578125000000001,8,0.11288955717933973,0.005075385180613075,5346.1112812029105,0.11355948709457486,0.0006699299152351373
2015,0.076171875,8,0.1130103299028443,0.005527521512891618,5345.383452526318,0.11355948709457486,0.0005491571917305565
2015,0.0765625,8,0.11429770570268266,0.0060926426750619956,5337.625169053992,0.11355948709457486,0.000738218608107799
2015,0.07812500000000001,8,0.11738580504465093,0.007045748183676832,5319.014946546546,0.11355948709457486,0.003826317950076069
2015,0.08125000000000002,8,0.11461141584390602,0.005849645494497363,5335.734616035938,0.11355948709457486,0.0010519287493311602
2015,0.08750000000000001,8,0.12096684455976264,0.007050018447552157,5297.434053316048,0.11355948709457486,0.0074073574651877805
2015,0.1,8,0.11949097111228998,0.006409069956202791,5306.328305154719,0.11355948709457486,0.005931484017715122
2015,0.5,8,0.20572558515520048,0.01295792378613972,4786.641216928002,0.11355948709457486,0.09216609806062562
