season,conference_id,h_sort_empirical,n_players,n_teams
2016,12,0.0231926243595,112,8
2016,13,0.0441875952649,130,11
2016,14,0.033764540566,135,12
2016,16,0.0272913438647,171,13
2016,18,0.0628056341876,120,10
2016,19,0.043505113969,119,10
2016,20,0.0515615985448,153,12
2016,21,0.0741535605615,136,12
2016,22,0.0883449157632,123,10
2016,23,0.0424229782726,167,14
2016,24,0.0740894484116,124,10
2016,25,0.0379916755126,159,13
2016,26,0.0462671746277,133,10
2016,27,0.0552217639464,136,11
2016,29,0.0604862877836,125,10
2016,30,0.0357108925732,97,8
2016,44,0.0263652082771,130,11
2016,45,0.0803918930754,129,10
2016,46,0.0334317848114,93,8
2016,49,0.027102805241,106,9
2016,62,0.046340858359,123,11
2017,1,0.0386725255262,110,9
2017,2,0.0636831978464,173,15
2017,3,0.063114669647,165,14
2017,4,0.071818828894,123,10
2017,5,0.0696085536942,141,11
2017,6,0.0831241520028,122,10
2017,7,0.0837193951721,161,14
2017,8,0.0379716670858,127,10
2017,9,0.0453125994791,116,9
2017,10,0.0715757377359,114,10
2017,11,0.0242377120787,179,14
2017,12,0.0445161131289,116,8
2017,13,0.0265546978983,126,11
2017,14,0.0208555873398,140,12
2017,16,0.0497599581544,164,13
2017,18,0.050797019147,127,10
2017,19,0.0215102831798,122,10
2017,20,0.0598058852671,145,12
2017,21,0.0457841591352,146,12
2017,22,0.0595216217166,121,10
2017,23,0.0472939589031,174,14
2017,24,0.143754281024,128,10
2017,25,0.0547272841041,162,13
2017,26,0.0339726283024,142,10
2017,27,0.0455976659353,153,12
2017,29,0.0677443374912,125,10
2017,30,0.0543080044274,99,8
2017,44,0.0116820850064,134,11
2017,45,0.0535409270606,118,10
2017,46,0.0372484384567,92,8
2017,49,0.0390926710455,109,9
2017,62,0.0462363391087,118,11
2018,1,0.0388800287786,112,9
2018,2,0.0771631109923,173,15
2018,3,0.0721983700962,152,14
2018,4,0.0678019661454,111,10
2018,5,0.104242119275,146,12
2018,6,0.0491269383203,128,10
2018,7,0.0350150285362,169,14
2018,8,0.0677126149623,119,10
2018,9,0.0233321048276,116,9
2018,10,0.0290262056487,115,10
2018,11,0.0378739906681,165,14
2018,12,0.0220077449095,109,8
2018,13,0.0424861684055,122,11
2018,14,0.0491368092533,139,12
2018,16,0.0983560138395,174,13
2018,18,0.0329707853202,120,10
2018,19,0.0442887367682,120,10
2018,20,0.0506038434746,151,12
2018,21,0.0641412182776,137,12
2018,22,0.0453943134864,124,10
2018,23,0.0319481533509,164,14
2018,24,0.0475203179243,128,10
2018,25,0.0587698714302,173,13
2018,26,0.0515900521829,140,10
2018,27,0.0828704493575,144,12
2018,29,0.0249380265936,115,10
2018,30,0.0237630212956,103,8
2018,44,0.089347005535,128,11
2018,45,0.0606687837007,119,10
2018,46,0.0156437387857,95,8
2018,49,0.0591161058943,97,8
2018,62,0.0431031955641,138,12
2019,1,0.0623981925435,109,9
2019,2,0.0681713723618,171,15
2019,3,0.023331684138,161,14
2019,4,0.0357511183404,108,10
2019,5,0.0273968159389,132,11
2019,6,0.105106843922,138,11
2019,7,0.0457111566059,166,14
2019,8,0.0968160941004,123,10
2019,9,0.034272403937,115,9
2019,10,0.0329782115557,113,10
2019,11,0.0662075518155,158,14
2019,12,0.0111092419274,115,8
2019,13,0.0953859505947,126,11
2019,14,0.0711817112901,144,12
2019,16,0.0929798614728,149,12
2019,18,0.0324073118344,111,10
2019,19,0.0439739079708,121,10
2019,20,0.0331035865854,152,13
2019,21,0.0181576579542,130,12
2019,22,0.0472454573826,117,10
2019,23,0.0292975491805,155,14
2019,24,0.0614234444996,120,10
2019,25,0.0716342804157,163,13
2019,26,0.0883871398268,140,10
2019,27,0.08527343202,142,12
2019,29,0.0608219073195,120,10
2019,30,0.11549280131,116,10
2019,44,0.0646421704096,129,11
2019,45,0.0261638548087,119,10
2019,46,0.0612596612786,109,9
2019,49,0.033265616964,106,9
2019,62,0.0380743361943,136,12
2020,1,0.0437063007248,106,9
2020,2,0.0988056587685,171,15
2020,3,0.0470638801461,156,14
2020,4,0.0271720886741,113,10
2020,5,0.0980315576134,131,11
2020,6,0.0431163382955,132,11
2020,7,0.05563049656,163,14
2020,8,0.0528874063469,117,10
2020,9,0.0321797441529,108,9
2020,10,0.0275318523283,118,10
2020,11,0.0367708600393,169,14
2020,12,0.0634774878495,110,8
2020,13,0.0369653863781,127,11
2020,14,0.0406345014945,144,12
2020,16,0.0253041437389,137,11
2020,18,0.0245136544732,122,10
2020,19,0.0518669251202,128,11
2020,20,0.0349436486057,155,13
2020,21,0.0436810692441,138,12
2020,22,0.0345002022103,121,10
2020,23,0.0709558411094,160,14
2020,24,0.0273000110172,123,10
2020,25,0.0730358017665,160,13
2020,26,0.0753609710968,142,10
2020,27,0.0730810721116,144,12
2020,29,0.0628987055851,119,10
2020,30,0.0705013004826,108,9
2020,44,0.0635282650242,132,11
2020,45,0.102679661252,123,10
2020,46,0.0716327858975,111,9
2020,49,0.0382514973966,105,9
2020,62,0.0510362388486,135,12
2021,1,0.074864417235,118,10
2021,2,0.0455592689141,177,15
2021,3,0.0809432341565,161,14
2021,4,0.0733240598897,126,11
2021,5,0.101933816491,143,11
2021,6,0.0817685167759,133,11
2021,7,0.0407222374622,161,14
2021,8,0.0545108820528,127,10
2021,9,0.0388317925213,143,11
2021,10,0.0576151561478,111,10
2021,11,0.0672806432894,171,14
2021,13,0.0542610225459,132,11
2021,14,0.0621320361281,147,12
2021,16,0.0741632775326,125,9
2021,18,0.0291115496412,127,10
2021,19,0.0947017326545,109,10
2021,20,0.102789647393,160,12
2021,21,0.0329250008557,146,12
2021,22,0.0681149497098,115,10
2021,23,0.0680918901498,175,14
2021,24,0.0272604793505,132,10
2021,25,0.0638027965631,176,13
2021,26,0.0543449206847,134,10
2021,27,0.0355595599172,157,12
2021,29,0.0704857187486,124,10
2021,30,0.0562857610803,120,9
2021,44,0.098495421294,131,11
2021,45,0.0592800535845,146,12
2021,46,0.00871887668622,128,10
2021,49,0.052585515281,118,9
2021,62,0.080365173147,129,11
