season,rho,n_seeds,h_sort_sim_mean,h_sort_sim_std,global_wss_sim_mean,h_sort_empirical,h_sort_abs_err
2011,0.0,50,0.09036057478658131,0.005019974640650141,4961.173425113993,0.09372285036747241,0.003362275580891097
2011,0.0125,50,0.09321888209993545,0.003971160955565,4945.58421702696,0.09372285036747241,0.0005039682675369583
2011,0.015625,50,0.09340739721177993,0.005284763387979892,4944.5560556069595,0.09372285036747241,0.00031545315569248
2011,0.0171875,50,0.09223416327800699,0.005746146386118365,4950.954873481757,0.09372285036747241,0.0014886870894654236
2011,0.017968750000000002,50,0.09319882648733181,0.0060525165596187315,4945.6936003381,0.09372285036747241,0.0005240238801405978
2011,0.018359375000000004,50,0.0932275493933914,0.005789104262878625,4945.536945608451,0.09372285036747241,0.0004953009740810144
2011,0.018750000000000003,50,0.09410543328751463,0.005960471093633209,4940.748966849903,0.09372285036747241,0.0003825829200422154
2011,0.025,50,0.09405557437592778,0.004984614663821448,4941.020897353697,0.09372285036747241,0.00033272400845536787
2011,0.05,50,0.09670449357523489,0.005527875114951937,4926.573692040676,0.09372285036747241,0.00298164320776248
2011,0.5,50,0.18939419783283873,0.01135892796370766,4421.044045019704,0.09372285036747241,0.09567134746536632
2012,0.0,50,0.09183601602623784,0.004652137933167447,4987.6284677867925,0.09436237269681103,0.0025263566705731877
2012,0.0125,50,0.0923466971356536,0.005777560287255395,4984.823811706799,0.09436237269681103,0.0020156755611574206
2012,0.015625,50,0.09359284091761293,0.006056002521261972,4977.980001214932,0.09436237269681103,0.0007695317791980988
2012,0.0171875,50,0.09417837687567589,0.004490416441912691,4974.764242976458,0.09436237269681103,0.00018399582113513835
2012,0.017968750000000002,50,0.09407301537380128,0.00484016155997696,4975.34288740129,0.09436237269681103,0.0002893573230097479
2012,0.018359375000000004,50,0.09383559786765547,0.0060087021112114536,4976.646782219076,0.09436237269681103,0.0005267748291555574
2012,0.018750000000000003,50,0.09446377505206348,0.006642064569773223,4973.19683874735,0.09436237269681103,0.00010140235525245289
2012,0.025,50,0.09598814503524573,0.0059243992061734215,4964.825012449755,0.09436237269681103,0.0016257723384347084
2012,0.05,50,0.09950175706502305,0.005241982525053599,4945.5282866450225,0.09436237269681103,0.005139384368212027
2012,0.5,50,0.1893241617806816,0.008384142071557509,4452.224444265574,0.09436237269681103,0.09496178908387057
2013,0.0,50,0.0923057908550721,0.004738486790798122,5264.6264130405725,0.10773080130509627,0.015425010450024174
2013,0.05,50,0.099666246714339,0.0045957850251945615,5221.935769056824,0.10773080130509627,0.008064554590757264
2013,0.1,50,0.10567458948256325,0.005155348214681178,5187.0873810011235,0.10773080130509627,0.002056211822533016
2013,0.1015625,50,0.10718022321949829,0.005893304363232851,5178.3547053269,0.10773080130509627,0.000550578085597983
2013,0.10234375000000001,50,0.10615341628579306,0.00507146113871689,5184.310185542391,0.10773080130509627,0.0015773850193032124
2013,0.10273437500000002,50,0.1068660133702194,0.005241336861122444,5180.177122452717,0.10773080130509627,0.0008647879348768622
2013,0.10312500000000001,50,0.1083399976001635,0.005478665105978096,5171.628013919042,0.10773080130509627,0.0006091962950672269
2013,0.10625000000000001,50,0.1081299565166593,0.006241704407180195,5172.846252203367,0.10773080130509627,0.00039915521156302924
2013,0.1125,50,0.10886936792741896,0.006445814940006462,5168.55766602096,0.10773080130509627,0.001138566622322687
2013,0.125,50,0.10985928984042982,0.00634749988431522,5162.816118925497,0.10773080130509627,0.002128488535333553
2013,0.15000000000000002,50,0.11413772047802262,0.006819692158815828,5138.001221227459,0.10773080130509627,0.006406919172926351
2013,0.2,50,0.12292984349640511,0.006684420410838611,5087.006907720841,0.10773080130509627,0.01519904219130884
2013,0.5,50,0.19347287142025635,0.008997720889323064,4677.857345762504,0.10773080130509627,0.08574207011516008
2014,0.0,50,0.059613274631221465,0.0035279046945663225,9998.191664120854,0.16940638912605854,0.10979311449483709
2014,0.05,50,0.06464527461746948,0.004149188721893186,9944.691440267065,0.16940638912605854,0.10476111450858906
2014,0.1,50,0.06899741185356935,0.0037159327480560988,9898.419517172852,0.16940638912605854,0.1004089772724892
2014,0.2,50,0.08260922824987872,0.004920316215275159,9753.69868524729,0.16940638912605854,0.08679716087617982
2014,0.4,50,0.12144415632241688,0.006321363781769672,9340.805729980064,0.16940638912605854,0.04796223280364166
2014,0.5,50,0.14782545556893947,0.0062723706973414435,9060.319756391036,0.16940638912605854,0.02158093355711907
2014,0.55,50,0.16132896369600183,0.008374850586169411,8916.75045798411,0.16940638912605854,0.008077425430056712
2014,0.5625,50,0.16688300356200336,0.007444514876299167,8857.69990612878,0.16940638912605854,0.0025233855640551806
2014,0.5687500000000001,50,0.16868691381467327,0.006928984963826864,8838.520732322393,0.16940638912605854,0.0007194753113852759
2014,0.5691406250000001,50,0.168682732699005,0.006632283976647428,8838.565185944179,0.16940638912605854,0.0007236564270535484
2014,0.56953125,50,0.169410981713471,0.008450078103119549,8830.822442422377,0.16940638912605854,4.592587412449722e-06
2014,0.5703125000000001,50,0.16988174756331234,0.008735724776217396,8825.817259906864,0.16940638912605854,0.0004753584372537978
2014,0.5718750000000001,50,0.16964432148202566,0.008069437108489112,8828.341574003103,0.16940638912605854,0.00023793235596711315
2014,0.5750000000000001,50,0.17083103308913408,0.00705253009324951,8815.724456196325,0.16940638912605854,0.0014246439630755392
2014,0.6000000000000001,50,0.17781628526762167,0.007608246950869942,8741.457255034647,0.16940638912605854,0.008409896141563122
2014,0.8,50,0.26023200377003625,0.010525833584662971,7865.213335916975,0.16940638912605854,0.0908256146439777
2015,0.0,50,0.05867172496878486,0.003246915039242608,10295.307344016353,0.18255725668405165,0.12388553171526678
2015,0.05,50,0.0632140239143973,0.0027278687924707236,10245.62822044819,0.18255725668405165,0.11934323276965435
2015,0.1,50,0.06854622651122276,0.003536927723367168,10187.30992064671,0.18255725668405165,0.11401103017282889
2015,0.2,50,0.08290222442111414,0.004359237086312058,10030.29837150623,0.18255725668405165,0.09965503226293751
