season,rho,n_seeds,h_sort_sim_mean,h_sort_sim_std,global_wss_sim_mean,h_sort_empirical,h_sort_abs_err
2013,0.0,50,0.08366541091841766,0.006326686260771005,3788.1271912632496,0.061979619345465475,0.02168579157295218
2013,0.5,50,0.17763684772190874,0.011247745281585139,3399.649271517619,0.061979619345465475,0.11565722837644327
2014,0.0,50,0.08225794976378417,0.006917353935329732,3897.650487353214,0.05656051514004312,0.02569743462374105
2014,0.5,50,0.17630445464200054,0.012185379897120608,3498.234981135428,0.05656051514004312,0.11974393950195741
2015,0.0,50,0.08126498624746283,0.006059139160733071,3922.0797737095736,0.0611334345493344,0.020131551698128428
2015,0.5,50,0.17682083625000605,0.01025949725529958,3514.1518500487173,0.0611334345493344,0.11568740170067165
2016,0.0,50,0.08187081997384135,0.005701177750930528,3886.440819050728,0.05902178795819357,0.02284903201564778
2016,0.5,50,0.17714570243149733,0.010158678220976651,3483.14224160747,0.05902178795819357,0.11812391447330375
2017,0.0,50,0.08084626839189939,0.004678993342083642,3944.0886623303522,0.06502926442473633,0.015817003967163054
2017,0.5,50,0.1721489499754845,0.010781731309232798,3552.3088556551893,0.06502926442473633,0.10711968555074816
2018,0.0,50,0.08012869221544625,0.0045890820672932165,3904.85370154542,0.0627630266884458,0.017365665527000446
2018,0.5,50,0.17477000993085925,0.011352965919923852,3503.101307843493,0.0627630266884458,0.11200698324241345
2019,0.0,50,0.08317433595114503,0.005723902075750281,3853.4182659973403,0.06709506867992587,0.016079267271219153
2019,0.5,50,0.17939099365848893,0.009124547921952119,3449.019653653373,0.06709506867992587,0.11229592497856306
2020,0.0,50,0.08340611746783919,0.007050906677615456,3866.1929965206486,0.06329600214701192,0.020110115320827265
2020,0.5,50,0.17464226005936623,0.01143442217823809,3481.358947069588,0.06329600214701192,0.11134625791235431
2021,0.0,50,0.08197508599115254,0.006632330472405759,3923.6384824738097,0.07274563431553693,0.009229451675615605
2021,0.5,50,0.17319636339408223,0.012551112208676406,3533.758742853689,0.07274563431553693,0.1004507290785453
