bin,x_mean,n,y_rate
1,-1.2191868663340795,441,0.0
2,-1.025690797701979,423,0.0
3,-0.8726010517243378,640,0.003125
4,-0.7206869988900905,983,0.004069175991861648
5,-0.5674590594725346,1504,0.006648936170212766
6,-0.4147237130113818,2011,0.004972650422675286
7,-0.26083444267575523,2304,0.006510416666666667
8,-0.10802698996625361,2355,0.01613588110403397
9,0.04694175039862191,2627,0.020175104682146935
10,0.1976424752199229,2473,0.027901334411645773
11,0.3498293648680893,2023,0.042511122095897184
12,0.5038839829884347,1565,0.05175718849840256
13,0.6558464194600562,1016,0.058070866141732284
14,0.8100462707955018,765,0.10457516339869281
15,0.963808290233096,446,0.08520179372197309
16,1.1551630580024417,476,0.12184873949579832
