bin,x_mean,n,y_rate
1,-0.6488023740464505,1295,0.006177606177606178
2,-0.46718517935718024,1294,0.00927357032457496
3,-0.3608996093755962,1294,0.011591962905718702
4,-0.28280964858509056,1294,0.013910355486862442
5,-0.21453728664078092,1294,0.01622874806800618
6,-0.15309190094799732,1294,0.02009273570324575
7,-0.09617826095528555,1294,0.02241112828438949
8,-0.043553410171787196,1294,0.020865533230293665
9,0.010747050913192606,1294,0.02704791344667697
10,0.06606860018198589,1294,0.025502318392581144
11,0.12330038505810866,1294,0.030911901081916538
12,0.18618410932763607,1294,0.023183925811437404
13,0.25439785528832115,1294,0.030911901081916538
14,0.33411235242143306,1294,0.04095826893353941
15,0.4407692135158516,1294,0.06027820710973725
16,0.6428437825406095,1294,0.07341576506955177
