minutes,ppm,perf,zeroed_by_policy,policy
57,0.175438596491,-1.0304056377,False,drop
98,0.0612244897959,-2.13601389599,False,drop
252,0.27380952381,-0.18687371167,False,drop
353,0.342776203966,0.261431728983,False,drop
404,0.282178217822,-0.115902091231,False,drop
90,0.433333333333,1.00112591689,False,drop
247,0.31983805668,0.203476271191,False,drop
250,0.172,-1.05957886185,False,drop
689,0.198838896952,-0.82267027271,False,drop
928,0.294181034483,-0.0141108981232,False,drop
85,0.411764705882,0.727590701451,False,drop
535,0.267289719626,-0.242165620677,False,drop
794,0.377833753149,0.695315087477,False,drop
733,0.320600272851,0.209940328392,False,drop
545,0.174311926606,-1.03067391431,False,drop
295,0.291525423729,-0.0366320941649,False,drop
848,0.399764150943,0.881298212931,False,drop
1038,0.348747591522,0.448646727999,False,drop
929,0.243272335845,-0.445847657941,False,drop
663,0.404223227753,0.919113899148,False,drop
984,0.491869918699,1.66241120139,False,drop
167,0.0359281437126,-2.20425264714,False,drop
553,0.314647377939,0.159456155157,False,drop
1090,0.280733944954,-0.128150404483,False,drop
626,0.260383386581,-0.300735529764,False,drop
528,0.465909090909,1.2672131782,False,drop
624,0.479166666667,1.54643845981,False,drop
1144,0.444055944056,1.25691958524,False,drop
919,0.544069640914,2.10509662717,False,drop
923,0.386782231853,0.7712036351,False,drop
203,0.43842364532,1.20915426278,False,drop
34,0.147058823529,-1.27118104711,False,drop
972,0.411522633745,0.981017306149,False,drop
954,0.395178197065,0.842406531919,False,drop
1139,0.492537313433,1.66807111507,False,drop
798,0.368421052632,0.615489656242,False,drop
267,0.352059925094,0.476737333374,False,drop
778,0.425449871465,1.09912876151,False,drop
921,0.43431053203,1.17427255785,False,drop
634,0.214511041009,-0.689760949239,False,drop
104,0.182692307692,-0.959603180359,False,drop
890,0.5,1.73135924076,False,drop
901,0.300776914539,0.0418261806079,False,drop
1084,0.405904059041,0.933368371831,False,drop
339,0.365781710914,0.593106431538,False,drop
1043,0.4046021093,0.922327045349,False,drop
786,0.521628498728,1.91478207831,False,drop
618,0.289644012945,-0.0525876030942,False,drop
574,0.322299651568,0.0941739227443,False,drop
342,0.213450292398,-0.698756743296,False,drop
766,0.278067885117,-0.150760215108,False,drop
426,0.427230046948,1.11422573345,False,drop
327,0.2874617737,-0.0710943205286,False,drop
937,0.393810032017,0.830803659316,False,drop
759,0.426877470356,0.948392748827,False,drop
452,0.234513274336,-0.520129832422,False,drop
149,0.181208053691,-0.972190557965,False,drop
29,0.103448275862,-1.6316408174,False,drop
357,0.187675070028,-0.917346322036,False,drop
1080,0.277777777778,-0.153220501978,False,drop
1017,0.347099311701,0.434668311574,False,drop
999,0.384384384384,0.750868428658,False,drop
467,0.278372591006,-0.264633733995,False,drop
743,0.247644683715,-0.408767485936,False,drop
1041,0.28818443804,-0.0649656869365,False,drop
861,0.456445993031,1.36199474414,False,drop
109,0.357798165138,0.52540110263,False,drop
964,0.223029045643,-0.617523083824,False,drop
292,0.359589041096,0.540588821117,False,drop
876,0.317351598174,0.182389589194,False,drop
958,0.249478079332,-0.393219174852,False,drop
1014,0.22090729783,-0.635516797086,False,drop
423,0.200945626478,-0.804803923668,False,drop
1090,0.444036697248,1.25675636059,False,drop
213,0.197183098592,-0.836712450927,False,drop
133,0.157894736842,-1.24872818486,False,drop
1021,0.380019588639,0.713852303261,False,drop
1200,0.42,1.05291053337,False,drop
580,0.284482758621,-0.0963581821542,False,drop
1023,0.462365591398,1.41219654239,False,drop
348,0.290229885057,-0.0476190508766,False,drop
349,0.315186246418,0.164026087952,False,drop
406,0.251231527094,-0.37834887026,False,drop
824,0.518203883495,1.88573925609,False,drop
1000,0.426,1.10379418643,False,drop
676,0.195266272189,-0.852968305863,False,drop
409,0.20782396088,-0.746471460112,False,drop
399,0.200501253133,-0.808572480184,False,drop
1099,0.50864422202,1.80466750645,False,drop
824,0.219660194175,-0.646092995375,False,drop
790,0.550632911392,2.16075715682,False,drop
119,0.647058823529,2.74689131395,False,drop
1047,0.444126074499,1.25751433409,False,drop
905,0.238674033149,-0.484844064443,False,drop
1131,0.461538461538,1.40518197759,False,drop
571,0.162872154116,-1.12769015004,False,drop
105,0.190476190476,-0.893591115195,False,drop
830,0.515662650602,1.86418805395,False,drop
1093,0.423604757548,1.08348107211,False,drop
1104,0.492753623188,1.66990555349,False,drop
351,0.213675213675,-0.696849273921,False,drop
206,0.23786407767,-0.491712980042,False,drop
1091,0.302474793767,0.0562252302002,False,drop
771,0.189364461738,-0.903019251762,False,drop
1021,0.505386875612,1.7770432257,False,drop
358,0.201117318436,-0.803347871329,False,drop
1108,0.276173285199,-0.166827575933,False,drop
758,0.274406332454,-0.297031165534,False,drop
1098,0.398907103825,0.874029931561,False,drop
810,0.423456790123,1.08222621826,False,drop
902,0.452328159645,1.32707300991,False,drop
643,0.244167962675,-0.438252197127,False,drop
1116,0.52688172043,1.95933259673,False,drop
1233,0.593673965937,2.52577150457,False,drop
730,0.308219178082,0.104941106616,False,drop
1173,0.50042625746,1.73497416354,False,drop
622,0.290996784566,-0.0411152761241,False,drop
1243,0.211584875302,-0.714576616014,False,drop
99,0.040404040404,-2.16629431808,False,drop
540,0.424074074074,1.08746116199,False,drop
945,0.586243386243,2.46275566472,False,drop
689,0.460087082729,1.39287340162,False,drop
698,0.243553008596,-0.443467382127,False,drop
454,0.356828193833,0.517175155404,False,drop
313,0.309904153355,0.11923072281,False,drop
848,0.330188679245,0.29125585244,False,drop
307,0.28990228013,-0.0503973401188,False,drop
725,0.452413793103,1.32779923378,False,drop
1099,0.346678798908,0.431102107063,False,drop
312,0.227564102564,-0.57906304,False,drop
573,0.314136125654,0.155120424516,False,drop
738,0.357723577236,0.383525761881,False,drop
1092,0.340659340659,0.380053436213,False,drop
943,0.40084835631,0.890492934547,False,drop
514,0.295719844358,-0.00106085348884,False,drop
263,0.292775665399,-0.0260292835996,False,drop
116,0.25,-0.38879296982,False,drop
729,0.462277091907,1.41144601282,False,drop
812,0.211822660099,-0.712560056164,False,drop
788,0.352791878173,0.343242361126,False,drop
241,0.120331950207,-1.48845697945,False,drop
1130,0.541592920354,2.08409252889,False,drop
1027,0.504381694255,1.7685186758,False,drop
865,0.314450867052,0.157789623196,False,drop
1033,0.481122942885,1.57127030327,False,drop
