games,teams,team_seasons,player_seasons_raw,median_roster_per_ts,mean_roster_per_ts,mean_box_rows_per_game_team,dash_rows,season,player_seasons_after_qc,teams_after_qc,team_seasons_dropped_qc,player_seasons_min20
5735,542,542,5801,13.0,10.702952029520295,13.288491717523975,0,2013,4753,347,195,4135
5932,628,628,10633,16.0,16.931528662420384,15.395819285232637,0,2014,5580,351,277,4248
5930,638,638,10938,16.0,17.144200626959247,15.400505902192243,0,2015,5747,351,287,4270
5884,640,640,10983,16.0,17.1609375,15.510197144799456,69,2016,5799,351,289,4234
5921,641,641,10998,16.0,17.157566302652107,15.416145921297078,0,2017,5710,350,291,4292
6002,658,658,11447,16.0,17.396656534954406,15.500333222259247,106,2018,5647,351,307,4246
6047,652,652,10972,16.0,16.828220858895705,15.364560939308749,0,2019,5590,353,299,4204
5766,663,663,13212,17.0,19.92760180995475,15.753902185223724,0,2020,5616,353,310,4219
4285,493,493,8858,16.0,17.967545638945232,15.742940490081681,0,2021,5513,345,148,4275
