athlete_id,athlete_display_name,season,team_id,minutes,ppm,points,team_short_display_name,Y_draft,lost_at_min20_drop,zeroed_at_min20_ppm0
4396909,Aaron Nesmith,2020,238,501,0.642714570858,322,Vanderbilt,1,False,False
4065660,Mfiondu Kabengele,2018,52,503,0.487077534791,245,Florida St,1,False,False
61662,Isaiah Cousins,2013,201,508,0.167322834646,85,Oklahoma,1,False,False
4066446,Elijah Hughes,2017,151,512,0.37890625,194,East Carolina,1,False,False
3914058,Justin James,2016,2751,516,0.325581395349,168,Wyoming,1,False,False
4432819,Tre Mann,2020,57,516,0.300387596899,155,Florida,1,False,False
3133601,Devonte' Graham,2015,2305,517,0.317214700193,164,Kansas,1,False,False
4432170,Isaiah Jackson,2021,96,518,0.407335907336,211,Kentucky,1,False,False
4277922,Jericho Sims,2019,251,521,0.280230326296,146,Texas,1,False,False
4278580,Sandro Mamukelashvili,2020,2550,522,0.455938697318,238,Seton Hall,1,False,False
57136,Abdel Nader,2015,66,524,0.354961832061,186,Iowa State,1,False,False
3908806,Ray Spalding,2016,97,525,0.321904761905,169,Louisville,1,False,False
56288,Spencer Dinwiddie,2014,38,529,0.47258979206,250,Colorado,1,False,False
3918423,Admiral Schofield,2017,2633,533,0.431519699812,230,Tennessee,1,False,False
4432161,Greg Brown III,2021,251,535,0.454205607477,243,Texas,1,False,False
4432812,Scottie Lewis,2021,57,537,0.307262569832,165,Florida,1,False,False
61572,Taurean Prince,2014,239,541,0.432532347505,234,Baylor,1,False,False
3936296,Skal Labissiere,2016,96,543,0.412523020258,224,Kentucky,1,False,False
4278076,Nick Richards,2018,96,543,0.348066298343,189,Kentucky,1,False,False
66620,Dakari Johnson,2014,96,550,0.367272727273,202,Kentucky,1,False,False
4065673,Tony Bradley,2017,153,555,0.484684684685,269,North Carolina,1,False,False
4432194,Day'Ron Sharpe,2021,153,556,0.494604316547,275,North Carolina,1,False,False
4065672,Dewan Hernandez,2017,2390,557,0.335727109515,187,Miami,1,False,False
4433137,Ziaire Williams,2021,24,558,0.383512544803,214,Stanford,1,False,False
3155536,Thomas Welsh,2015,26,565,0.244247787611,138,UCLA,1,False,False
4277850,RaiQuan Gray,2020,52,565,0.306194690265,173,Florida St,1,False,False
67430,Frank Mason III,2014,2305,567,0.336860670194,191,Kansas,1,False,False
4433134,Scottie Barnes,2021,52,570,0.435087719298,248,Florida St,1,False,False
61822,Jerami Grant,2013,183,572,0.270979020979,155,Syracuse,1,False,False
3907823,Terance Mann,2016,52,572,0.309440559441,177,Florida St,1,False,False
4278053,Davion Mitchell,2018,2,582,0.216494845361,126,Auburn,1,False,False
4397424,Neemias Queta,2020,328,588,0.486394557823,286,Utah State,1,False,False
3906786,Dylan Windler,2016,2057,590,0.235593220339,139,Belmont,1,False,False
3908809,Donovan Mitchell,2016,97,591,0.387478849408,229,Louisville,1,False,False
4431699,Kai Jones,2021,251,594,0.387205387205,230,Texas,1,False,False
4593125,Santi Aldama,2021,2352,595,0.606722689076,361,Loyola MD,1,False,False
4396961,Robert Woodard II,2019,344,596,0.313758389262,187,Mississippi St,1,False,False
3918423,Admiral Schofield,2016,2633,598,0.408026755853,244,Tennessee,1,False,False
61438,Richaun Holmes,2013,189,602,0.343853820598,207,Bowling Green,1,False,False
4277957,Isaiah Livers,2018,130,604,0.226821192053,137,Michigan,1,False,False
61550,Grant Jerrett,2013,12,606,0.290429042904,176,Arizona,1,False,False
3912854,Jawun Evans,2016,197,608,0.462171052632,281,Oklahoma St,1,False,False
3136477,Isaiah Whitehead,2015,2550,612,0.433006535948,265,Seton Hall,1,False,False
3149010,Chandler Hutchison,2016,68,615,0.344715447154,212,Boise St,1,False,False
4066998,Jalen Harris,2017,2348,618,0.477346278317,295,Louisiana Tech,1,False,False
66327,Jabari Bird,2014,25,619,0.415185783522,257,California,1,False,False
3147366,Chinanu Onuaku,2015,97,623,0.166934189406,104,Louisville,1,False,False
3914283,Chimezie Metu,2016,30,624,0.350961538462,219,USC,1,False,False
4277922,Jericho Sims,2018,251,628,0.272292993631,171,Texas,1,False,False
4702233,JT Thor,2021,2,628,0.402866242038,253,Auburn,1,False,False
4278502,Tyler Bey,2018,38,629,0.31160572337,196,Colorado,1,False,False
3937101,Deyonta Davis,2016,127,631,0.402535657686,254,Michigan St,1,False,False
3912334,Khyri Thomas,2016,156,633,0.334913112164,212,Creighton,1,False,False
4065730,Kyle Guy,2017,258,634,0.403785488959,256,Virginia,1,False,False
66620,Dakari Johnson,2015,96,635,0.390551181102,248,Kentucky,1,False,False
66207,Jordan Bell,2016,2483,636,0.330188679245,210,Oregon,1,False,False
4592492,Bones Hyland,2020,2670,638,0.437304075235,279,VCU,1,False,False
4277850,RaiQuan Gray,2021,52,638,0.465517241379,297,Florida St,1,False,False
4277922,Jericho Sims,2021,251,638,0.376175548589,240,Texas,1,False,False
4065670,Bruce Brown,2018,2390,640,0.3375,216,Miami,1,False,False
61810,Caris LeVert,2015,130,645,0.417054263566,269,Michigan,1,False,False
67433,Joel Embiid,2014,2305,647,0.483771251932,313,Kansas,1,False,False
66327,Jabari Bird,2015,25,648,0.371913580247,241,California,1,False,False
4432164,Jaden Springer,2021,2633,648,0.483024691358,313,Tennessee,1,False,False
61793,Montrezl Harrell,2013,97,649,0.348228043143,226,Louisville,1,False,False
3908806,Ray Spalding,2017,97,653,0.306278713629,200,Louisville,1,False,False
4431687,Patrick Williams,2020,52,653,0.410413476263,268,Florida St,1,False,False
4278521,KZ Okpala,2018,24,655,0.352671755725,231,Stanford,1,False,False
4395652,Nassir Little,2019,153,655,0.53893129771,353,North Carolina,1,False,False
4277922,Jericho Sims,2020,251,655,0.35572519084,233,Texas,1,False,False
4065732,De'Andre Hunter,2018,258,657,0.461187214612,303,Virginia,1,False,False
4397688,Trey Murphy III,2019,242,659,0.408194233687,269,Rice,1,False,False
61653,Brice Johnson,2014,153,661,0.531013615734,351,North Carolina,1,False,False
3913546,Melvin Frazier Jr.,2016,2655,662,0.26586102719,176,Tulane,1,False,False
4277957,Isaiah Livers,2020,130,662,0.409365558912,271,Michigan,1,False,False
45911,Ryan Kelly,2013,150,664,0.44578313253,296,Duke,1,False,False
66284,Demetrius Jackson,2014,87,666,0.271771771772,181,Notre Dame,1,False,False
4592204,David Johnson,2021,97,667,0.359820089955,240,Louisville,1,False,False
3136485,Edmond Sumner,2017,2752,669,0.448430493274,300,Xavier,1,False,False
4277952,Bruno Fernando,2018,120,671,0.459016393443,308,Maryland,1,False,False
4066650,Zach Collins,2017,2250,672,0.580357142857,390,Gonzaga,1,False,False
3143565,Kevin Hervey,2015,250,673,0.326894502229,220,UT Arlington,1,False,False
4702176,Joshua Primo,2021,333,673,0.362555720654,244,Alabama,1,False,False
61663,Buddy Hield,2013,201,679,0.310751104566,211,Oklahoma,1,False,False
4280151,Corey Kispert,2018,2250,679,0.347569955817,236,Gonzaga,1,False,False
61804,Kris Dunn,2013,2507,680,0.208823529412,142,Providence,1,False,False
3936102,Stephen Zimmerman,2016,2439,680,0.4,272,UNLV,1,False,False
61842,Willie Cauley-Stein,2013,96,683,0.354319180088,242,Kentucky,1,False,False
66130,Davon Reed,2014,2390,683,0.317715959004,217,Miami,1,False,False
4395724,Immanuel Quickley,2019,96,684,0.28216374269,193,Kentucky,1,False,False
4431823,Miles McBride,2020,277,688,0.43023255814,296,West Virginia,1,False,False
4432192,Keon Johnson,2021,2633,688,0.44476744186,306,Tennessee,1,False,False
4397916,Jason Preston,2021,195,691,0.454413892909,314,Ohio,1,False,False
57027,Sir'Dominic Pointer,2014,2599,698,0.277936962751,194,St John's,1,False,False
66587,Terry Rozier,2014,97,699,0.370529327611,259,Louisville,1,False,False
3138201,Marial Shayok,2017,258,702,0.433048433048,304,Virginia,1,False,False
51123,Cady Lalanne,2013,113,706,0.381019830028,269,UMass,1,False,False
3906665,Brandon Clarke,2016,23,708,0.374293785311,265,San José St,1,False,False
4066269,Skylar Mays,2017,99,711,0.36005625879,256,LSU,1,False,False
4277951,Luka Garza,2018,2294,715,0.559440559441,400,Iowa,1,False,False
4277813,Herbert Jones,2020,333,715,0.299300699301,214,Alabama,1,False,False
66116,Sterling Brown,2014,2567,719,0.223922114047,161,SMU,1,False,False
4277813,Herbert Jones,2019,333,719,0.300417246175,216,Alabama,1,False,False
61766,Justin Anderson,2015,258,724,0.437845303867,317,Virginia,1,False,False
4066382,Cassius Winston,2017,127,724,0.325966850829,236,Michigan St,1,False,False
4066632,Justinian Jessup,2017,68,725,0.318620689655,231,Boise St,1,False,False
4431712,James Bouknight,2020,41,725,0.502068965517,364,UConn,1,False,False
66173,Josh Hart,2014,222,727,0.364511691884,265,Villanova,1,False,False
4277957,Isaiah Livers,2021,130,727,0.414030261348,301,Michigan,1,False,False
3136469,Ben Bentil,2015,2507,730,0.295890410959,216,Providence,1,False,False
4278052,Chuma Okeke,2018,2,734,0.347411444142,255,Auburn,1,False,False
4397885,Dalano Banton,2021,158,736,0.350543478261,258,Nebraska,1,False,False
4397688,Trey Murphy III,2021,258,739,0.381596752368,282,Virginia,1,False,False
4277813,Herbert Jones,2018,333,741,0.198380566802,147,Alabama,1,False,False
3137733,Rashad Vaughn,2015,2439,742,0.5525606469,410,UNLV,1,False,False
4397077,Jaxson Hayes,2019,251,747,0.428380187416,320,Texas,1,False,False
61218,Steven Adams,2013,221,749,0.308411214953,231,Pitt,1,False,False
62615,Denzel Valentine,2013,127,749,0.240320427236,180,Michigan St,1,False,False
3133628,Myles Turner,2015,251,755,0.456953642384,345,Texas,1,False,False
3133603,Kelly Oubre Jr.,2015,2305,756,0.440476190476,333,Kansas,1,False,False
61796,Jake Layman,2013,120,757,0.274768824306,208,Maryland,1,False,False
4432162,Brandon Boston Jr.,2021,96,758,0.378627968338,287,Kentucky,1,False,False
4277951,Luka Garza,2019,2294,759,0.552042160738,419,Iowa,1,False,False
3147366,Chinanu Onuaku,2016,97,762,0.402887139108,307,Louisville,1,False,False
3138196,Cameron Johnson,2018,153,762,0.423884514436,323,North Carolina,1,False,False
4277961,Jaren Jackson Jr.,2018,127,764,0.5,382,Michigan St,1,False,False
61840,Nerlens Noel,2013,96,765,0.328104575163,251,Kentucky,1,False,False
4066648,Rui Hachimura,2018,2250,766,0.558746736292,428,Gonzaga,1,False,False
4592492,Bones Hyland,2021,2670,766,0.609660574413,467,VCU,1,False,False
3943606,Jerome Robinson,2016,103,768,0.350260416667,269,Boston College,1,False,False
4432809,Cole Anthony,2020,153,768,0.529947916667,407,North Carolina,1,False,False
61808,Mitch McGary,2013,130,769,0.378413524057,291,Michigan,1,False,False
4066211,Robert Williams III,2018,245,769,0.404421326398,311,Texas A&M,1,False,False
4066392,Isaiah Roby,2018,158,769,0.36410923277,280,Nebraska,1,False,False
3924880,Diamond Stone,2016,120,771,0.549935149157,424,Maryland,1,False,False
4431669,Vernon Carey Jr.,2020,150,772,0.715025906736,552,Duke,1,False,False
57041,Norman Powell,2013,26,773,0.27425614489,212,UCLA,1,False,False
61835,Jaron Blossomgame,2014,228,774,0.209302325581,162,Clemson,1,False,False
3912292,Jarrell Brantley,2018,232,775,0.534193548387,414,Charleston,1,False,False
4397183,Aaron Wiggins,2019,120,775,0.363870967742,282,Maryland,1,False,False
4432819,Tre Mann,2021,57,778,0.494858611825,385,Florida,1,False,False
61278,Sam Dekker,2013,275,780,0.429487179487,335,Wisconsin,1,False,False
67249,Wes Iwundu,2014,2306,780,0.282051282051,220,Kansas St,1,False,False
67249,Wes Iwundu,2015,2306,780,0.229487179487,179,Kansas St,1,False,False
3136485,Edmond Sumner,2016,2752,781,0.42509603073,332,Xavier,1,False,False
3133817,Eric Paschall,2017,222,781,0.33290653009,260,Villanova,1,False,False
4278526,Jaylen Hands,2018,26,781,0.391805377721,306,UCLA,1,False,False
4278049,Daniel Gafford,2018,8,790,0.522784810127,413,Arkansas,1,False,False
3934723,Thomas Bryant,2016,84,791,0.524652338812,415,Indiana,1,False,False
56933,Branden Dawson,2014,127,792,0.396464646465,314,Michigan St,1,False,False
3134908,Jakob Poeltl,2015,254,792,0.392676767677,311,Utah,1,False,False
4277957,Isaiah Livers,2019,130,792,0.35101010101,278,Michigan,1,False,False
66604,Noah Vonleh,2014,84,794,0.425692695214,338,Indiana,1,False,False
66138,Devon Hall,2016,258,794,0.18765743073,149,Virginia,1,False,False
61766,Justin Anderson,2014,258,796,0.36432160804,290,Virginia,1,False,False
66116,Sterling Brown,2015,2567,796,0.222361809045,177,SMU,1,False,False
4431686,Cassius Stanley,2020,150,796,0.457286432161,364,Duke,1,False,False
4065660,Mfiondu Kabengele,2019,52,798,0.612781954887,489,Florida St,1,False,False
3147657,Mikal Bridges,2016,222,800,0.31,248,Villanova,1,False,False
3915195,Shake Milton,2018,2567,800,0.495,396,SMU,1,False,False
4066211,Robert Williams III,2017,245,801,0.460674157303,369,Texas A&M,1,False,False
4066757,Sam Merrill,2017,328,801,0.352059925094,282,Utah State,1,False,False
61231,Joel Bolomboy,2013,2692,802,0.322942643392,259,Weber St,1,False,False
3155536,Thomas Welsh,2017,26,802,0.430174563591,345,UCLA,1,False,False
56996,Rakeem Christmas,2014,183,803,0.245330012453,197,Syracuse,1,False,False
66253,Jarell Martin,2014,99,803,0.393524283935,316,LSU,1,False,False
66275,Damian Jones,2014,238,803,0.434620174346,349,Vanderbilt,1,False,False
56965,P.J. Hairston,2013,153,804,0.615671641791,495,North Carolina,1,False,False
3934621,Jacob Evans,2016,2132,806,0.344913151365,278,Cincinnati,1,False,False
4066320,Desmond Bane,2017,2628,807,0.343246592317,277,TCU,1,False,False
4396993,Tyrese Haliburton,2020,66,807,0.41511771995,335,Iowa State,1,False,False
4066212,Jordan Bone,2018,2633,808,0.318069306931,257,Tennessee,1,False,False
4396959,Reggie Perry,2019,344,813,0.405904059041,330,Mississippi St,1,False,False
4066218,Grant Williams,2017,2633,814,0.493857493857,402,Tennessee,1,False,False
4066407,Carsen Edwards,2017,2509,814,0.44226044226,360,Purdue,1,False,False
4066731,Jalen McDaniels,2018,21,815,0.423312883436,345,San Diego St,1,False,False
3136193,Devin Booker,2015,96,817,0.466340269278,381,Kentucky,1,False,False
3907358,Quinndary Weatherspoon,2016,344,818,0.441320293399,361,Mississippi St,1,False,False
3907498,Matisse Thybulle,2016,264,820,0.257317073171,211,Washington,1,False,False
3155942,Domantas Sabonis,2015,2250,822,0.448905109489,369,Gonzaga,1,False,False
66130,Davon Reed,2015,2390,824,0.299757281553,247,Miami,1,False,False
3136195,Karl-Anthony Towns,2015,96,824,0.486650485437,401,Kentucky,1,False,False
4065672,Dewan Hernandez,2018,2390,825,0.442424242424,365,Miami,1,False,False
66116,Sterling Brown,2016,2567,826,0.365617433414,302,SMU,1,False,False
3136196,Trey Lyles,2015,96,828,0.378019323671,313,Kentucky,1,False,False
66275,Damian Jones,2016,238,830,0.551807228916,458,Vanderbilt,1,False,False
66207,Jordan Bell,2015,2483,831,0.212996389892,177,Oregon,1,False,False
4566434,Franz Wagner,2020,130,831,0.375451263538,312,Michigan,1,False,False
3133635,Jevon Carter,2015,277,832,0.342548076923,285,West Virginia,1,False,False
3155536,Thomas Welsh,2016,26,832,0.418269230769,348,UCLA,1,False,False
56996,Rakeem Christmas,2013,183,833,0.246098439376,205,Syracuse,1,False,False
4397215,Daniel Oturu,2019,135,834,0.452038369305,377,Minnesota,1,False,False
4397014,Quentin Grimes,2020,248,837,0.434886499403,364,Houston,1,False,False
66205,George King,2016,38,839,0.528009535161,443,Colorado,1,False,False
4065654,Jonathan Isaac,2017,52,839,0.456495828367,383,Florida St,1,False,False
4278039,Nickeil Alexander-Walker,2018,259,840,0.419047619048,352,Virginia Tech,1,False,False
61766,Justin Anderson,2013,258,841,0.316290130797,266,Virginia,1,False,False
3133817,Eric Paschall,2015,2230,842,0.510688836105,430,Fordham,1,False,False
3908845,John Collins,2017,154,842,0.719714964371,606,Wake Forest,1,False,False
