min_minutes_threshold,n_drafted_retained_drop,n_drafted_lost_drop,n_unique_drafted_lost_drop,pct_drafted_retained_drop,n_drafted_retained_ppm_zero,n_zeroed_ppm_zero
0,926,0,0,1,926,0
1,884,42,40,0.95464362851,926,42
2,884,42,40,0.95464362851,926,42
5,884,42,40,0.95464362851,926,42
8,884,42,40,0.95464362851,926,42
10,884,42,40,0.95464362851,926,42
15,884,42,40,0.95464362851,926,42
20,882,44,42,0.952483801296,926,44
25,881,45,43,0.951403887689,926,45
30,878,48,46,0.948164146868,926,48
