season,h_sort_drop,h_sort_ppm_zero,h_sort_delta_ppm_zero_minus_drop,n_players_drop,n_players_ppm_zero,mean_zero_fraction,median_zero_fraction
2013,0.0619796193455,0.0535797104428,-0.00839990890266,4135,4753,0.125774704884,0.125
2014,0.05656051514,0.0552027352587,-0.00135777988135,4248,5580,0.228370991685,0.230769230769
2015,0.0611334345493,0.0834732457335,0.0223398111841,4270,5747,0.237131532928,0.230769230769
2016,0.0590217879582,0.0791518135609,0.0201300256027,4234,5799,0.248247918844,0.25
2017,0.0650292644247,0.0616656364527,-0.00336362797204,4292,5710,0.234759684816,0.222222222222
2018,0.0627630266884,0.0657995803188,0.00303655363031,4246,5647,0.235930672058,0.235294117647
2019,0.0670950686799,0.0703893368138,0.00329426813391,4204,5590,0.235668286867,0.230769230769
2020,0.063296002147,0.0498150139265,-0.0134809882205,4219,5616,0.240773205706,0.25
2021,0.0727456343155,0.0665094782431,-0.00623615607241,4275,5513,0.21621348919,0.214285714286
