uni_slug,year,A_hat_min,A_hat_max,T_j_hat,roster_n,perf_span,team_id,season
arizona_state_university,2019,-0.5602805494698193,-0.3514239426982497,-0.49066168054596276,3,0.2088566067715696,arizona_state_university,2019
arizona_state_university,2020,-0.611110629939187,-0.1657024484650724,-0.3884065392021297,2,0.44540818147411454,arizona_state_university,2020
arizona_state_university,2021,-1.0310882575279965,-0.8261514610006929,-0.8944637265097941,3,0.20493679652730357,arizona_state_university,2021
auburn_university,2009,-1.0437093266277284,-1.0437093266277284,-1.0437093266277284,2,0.0,auburn_university,2009
auburn_university,2010,-0.6689813650944718,-0.3368629568915425,-0.5029221609930071,2,0.3321184082029293,auburn_university,2010
auburn_university,2011,-0.5905187298602624,0.5394862470328322,-0.025516241413715113,2,1.1300049768930946,auburn_university,2011
auburn_university,2012,-0.8802871032984065,0.024035142752174967,-0.42812598027311577,2,0.9043222460505815,auburn_university,2012
auburn_university,2013,-0.7173889894279779,1.422337707362985,0.35247435896750356,2,2.139726696790963,auburn_university,2013
auburn_university,2022,0.5125915693189427,8.517124827241238,4.51485819828009,2,8.004533257922295,auburn_university,2022
auburn_university,2023,-0.17085051686651082,-0.17085051686651082,-0.17085051686651082,2,0.0,auburn_university,2023
auburn_university,2024,-0.29935152469124876,0.009140504570725119,-0.14510551006026182,2,0.3084920292619739,auburn_university,2024
binghamton_university_suny,2022,-0.47562241314059994,0.018484578089171363,-0.2285689175257143,2,0.4941069912297713,binghamton_university_suny,2022
binghamton_university_suny,2023,-0.9698279339775463,-0.4371763225701893,-0.7700835796997875,4,0.532651611407357,binghamton_university_suny,2023
binghamton_university_suny,2024,-0.5050128775325646,-0.4535975393222357,-0.47416367460636727,5,0.051415338210328954,binghamton_university_suny,2024
boston_university,2012,0.024035142752174967,3.3829463423686206,1.2728611015839304,3,3.3589111996164456,boston_university,2012
boston_university,2013,-1.074010105559805,0.17416380090159,-0.4202047259847886,3,1.248173906461395,boston_university,2013
boston_university,2014,-0.014246593690501892,1.4317826658954467,0.6743387680170927,3,1.4460292595859485,boston_university,2014
boston_university,2016,-1.2572810206494955,-0.6989489884531734,-0.8850596658519475,3,0.5583320321963221,boston_university,2016
boston_university,2017,-0.3875304167850331,-0.14957314332053906,-0.3002794165147186,6,0.23795727346449402,boston_university,2017
boston_university,2023,-0.9698279339775463,2.2260817344665957,0.35155779432147394,13,3.195909668444142,boston_university,2023
boston_university,2024,-0.5050128775325646,0.8317859159359888,-0.06284096892373545,15,1.3367987934685535,boston_university,2024
brigham_young_university,2007,-1.2117477283335532,-0.04020016160348284,-0.43071601718017294,4,1.1715475667300703,brigham_young_university,2007
brigham_young_university,2008,-1.084236687497298,-0.20761979122288682,-0.5144357049189308,4,0.8766168962744112,brigham_young_university,2008
california_institute_of_technology,2022,-0.6732652096325085,-0.17915821840273716,-0.5003277627020886,4,0.4941069912297713,california_institute_of_technology,2022
california_institute_of_technology,2023,-0.30401341971835005,0.09547528883716767,-0.1264628825825644,3,0.3994887085555177,california_institute_of_technology,2023
california_institute_of_technology,2024,-0.3507668629015777,0.009140504570725119,-0.12796706399015215,3,0.35990736747230284,california_institute_of_technology,2024
