uni_slug,year,A_hat_min,A_hat_max,T_j_hat,roster_n,perf_span,team_id,season
arizona_state_university,2019,-0.4388898865668074,-0.11992921318976714,-0.3830717687258254,8,0.31896067337704026,arizona_state_university,2019
arizona_state_university,2020,-0.4827437109736482,0.11226597929619726,-0.388297728391133,7,0.5950096902698455,arizona_state_university,2020
arizona_state_university,2021,-0.676999449150429,-0.3473011931692292,-0.567100030490029,7,0.3296982559811998,arizona_state_university,2021
auburn_university,2007,-0.8436902650089613,-0.8436902650089613,-0.8436902650089613,2,0.0,auburn_university,2007
auburn_university,2008,-0.9472688330521539,-0.9472688330521539,-0.9472688330521539,2,0.0,auburn_university,2008
auburn_university,2009,-0.8162644172047219,-0.6275581272057807,-0.6904602238720945,3,0.18870628999894112,auburn_university,2009
auburn_university,2010,-0.35320252062111335,-0.02077661886006549,-0.18698956974058942,2,0.33242590176104786,auburn_university,2010
auburn_university,2011,-0.2342823012574456,0.9620528540997236,0.363885276421139,2,1.1963351553571693,auburn_university,2011
auburn_university,2012,-0.5142467706310075,0.37836855887891213,-0.0679391058760477,2,0.8926153295099197,auburn_university,2012
auburn_university,2013,-0.356889563134033,1.5865090663689372,0.6148097516174521,2,1.9433986295029702,auburn_university,2013
auburn_university,2015,-0.9252842524103494,-0.5431016264147703,-0.7978900437451563,3,0.38218262599557906,auburn_university,2015
auburn_university,2022,-0.5791817047283655,10.174354832573536,3.533574374450257,3,10.753536537301901,auburn_university,2022
auburn_university,2023,-0.7610025664253705,0.20166279095099038,-0.11922566150779657,3,0.9626653573763608,auburn_university,2023
auburn_university,2024,-0.40928174124775585,0.2771265999516376,-0.07647769702986813,3,0.6864083411993934,auburn_university,2024
binghamton_university_suny,2022,-0.5791817047283655,0.43957438827918305,-0.2848743889706292,5,1.0187560930075485,binghamton_university_suny,2022
binghamton_university_suny,2023,-0.7610025664253705,-0.07338445401368415,-0.5317965289548084,6,0.6876181124116862,binghamton_university_suny,2023
binghamton_university_suny,2024,-0.40928174124775585,-0.28448022466604794,-0.3468809829569019,8,0.1248015165817079,binghamton_university_suny,2024
boston_university,2012,0.37836855887891213,3.6937969256300422,1.6110278234402298,3,3.31542836675113,boston_university,2012
boston_university,2013,-0.6807893347178614,0.45285986582553783,-0.08697308681417608,3,1.1336492005433993,boston_university,2013
boston_university,2014,0.2753852079866962,1.6339522340543973,0.9223218870665538,3,1.3585670260677012,boston_university,2014
boston_university,2016,-0.8663373304609113,-0.3411944965856329,-0.5600040107003322,4,0.5251428338752784,boston_university,2016
boston_university,2017,-0.27174244206386194,0.002437151946761085,-0.15423690177359492,7,0.27417959401062303,boston_university,2017
boston_university,2023,-0.7610025664253705,2.677087995633061,0.5408877264074223,15,3.4380905620584317,boston_university,2023
boston_university,2024,-0.40928174124775585,1.2755387326053007,0.08992432507907573,18,1.6848204738530566,boston_university,2024
