uic,SIMPLENAME,UICTYPE,COMPO,is_top_level,CITY,STATE,BRANCH
WA6WAA,112 AG Det,PARENT,1.0,False,TACOMA,WA,AG
WA96AA,HHC 593 SC,PARENT,1.0,False,TACOMA,WA,CS
WA9699,Aug,PARENT,1.0,False,TACOMA,WA,
WBHBFF,62 MD Bde,TITULAR,1.0,False,,,
WBHBAA,HHC 62 MP,PARENT,1.0,False,TACOMA,WA,MD
WBHB99,Aug 62 MD,PARENT,1.0,False,TACOMA,WA,
WBHKFF,56 MD Bn,TITULAR,,False,,,
WBHKAA,HHD 56 MD,PARENT,1.0,False,TACOMA,WA,MD
WBN5AA,520 MD Co,PARENT,1.0,False,TACOMA,WA,MD
WBN8AA,547 MD Co,PARENT,1.0,False,TACOMA,WA,MD
WBNNAA,575 MD Co,PARENT,1.0,False,TACOMA,WA,MD
WBRFAA,255 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WD2KAA,153 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WD2QAA,166 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WD60AA,227 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WD6DAA,514 MD Co,PARENT,1.0,False,TACOMA,WA,MD
WD6EAA,551 MD Co,PARENT,1.0,False,TACOMA,WA,MD
WC70AA,673 MD Co,PARENT,1.0,False,TACOMA,WA,MD
WG4UFF,47 CSH,TITULAR,,False,,,
WBR3AA,102 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WBTGAA,98 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WBTLAA,Aug 53 MD,PARENT,1.0,False,TACOMA,WA,MD
WC47AA,758 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WG4UAA,HHC 47 CSH,PARENT,1.0,False,TACOMA,WA,MD
WG4UA0,Hsp Co164,STRUCTURE,,False,TACOMA,WA,
WG4UB0,Hsp Co 84,STRUCTURE,,False,TACOMA,WA,
WG4UT0,HHD CSH248,STRUCTURE,,False,TACOMA,WA,
WH5GAA,250 MD Det,PARENT,1.0,False,TACOMA,WA,MD
WHGDAA,218 MD Det,PARENT,,False,TACOMA,WA,MD
WC30FF,42 MP Bde,TITULAR,,False,,,
WBXAFF,504 MP Bn,TITULAR,,False,,,
WBXAAA,HHD 504 MP,PARENT,1.0,False,TACOMA,WA,MP
WC4VAA,66 MP Co,PARENT,1.0,False,TACOMA,WA,MP
WHL3AA,170 MP Co,PARENT,1.0,False,TACOMA,WA,MP
WHWMAA,571 MP Co,PARENT,,False,TACOMA,WA,MP
WJJFAA,54 MP Co,PARENT,1.0,False,TACOMA,WA,MP
WC30AA,HHC 42 MP,PARENT,,False,TACOMA,WA,MP
WC3099,Aug 42 MP,PARENT,,False,TACOMA,WA,
WE00AA,95 MP Det,PARENT,1.0,False,TACOMA,WA,MP
WG04FF,508 MP Bn,TITULAR,,False,,,
WBXKAA,67 MP Co,PARENT,1.0,False,TACOMA,WA,MP
WG04AA,HHC 508 MP,PARENT,1.0,False,TACOMA,WA,MP
WHJEAA,595 MP Co,PARENT,1.0,False,TACOMA,WA,MP
WHNQAA,51 MP Det,PARENT,,False,TACOMA,WA,MP
WET1FF,13 Spt Bn,TITULAR,,False,,,
WC7EAA,24 QM Co,PARENT,1.0,False,TACOMA,WA,QM
WCLYAA,21 TC Co,PARENT,1.0,False,TACOMA,WA,TC
WCPBAA,513 TC Co,PARENT,1.0,False,TACOMA,WA,TC
WET1AA,HHC13SptBn,PARENT,1.0,False,TACOMA,WA,CS
WET4AA,63 OD Co,PARENT,1.0,False,TACOMA,WA,OD
WEXQAA,542 Mnt Co,PARENT,1.0,False,TACOMA,WA,OD
WFR8AA,523 TC Co,PARENT,,False,TACOMA,WA,TC
WHEBAA,140 TC Det,PARENT,1.0,False,TACOMA,WA,TC
WAT3AA,HHBNICorps,PARENT,1.0,True,TACOMA,WA,HQ
WAT395,Aug 1Corps,PARENT,1.0,True,TACOMA,WA,
WAT399,Aug 1Corps,PARENT,1.0,False,TACOMA,WA,
WAT3A0,SIS Co,STRUCTURE,1.0,False,TACOMA,WA,
WAT3T0,HSC Corps,STRUCTURE,1.0,False,TACOMA,WA,
WC0WAA,56 Band,PARENT,1.0,False,TACOMA,WA,AG
WCC9FF,(MIB) 201 MIB,TITULAR,1.0,False,,,
WBVEAA,502 MI Bn,PARENT,1.0,False,TACOMA,WA,MI
WBVEA0,CI&HUMINT,STRUCTURE,1.0,False,TACOMA,WA,
