parent_uic,child_uic
WBVEAA,WBVEB0
WBVEAA,WBVET0
WBVEB0,WBVEB1
WBVEB0,WBVEB2
WBVEB0,WBVEB3
WBVEB0,WBVEB4
WBVEB0,WBVEB5
WBVEB0,WBVEB7
WBVET0,WBVET1
WCC9AA,WCC999
WH66AA,WH66A0
WH66AA,WH66B0
WH66AA,WH66T0
WFNLFF,WFNLAA
