top_uic,subordinate_uic
WAT3FF,WAJKC0
WAT3FF,WAX2B0
WAT3FF,WJMQT0
WAT3FF,WJMLT0
WAT3FF,WJHHC0
WAT3FF,WA9699
WAT3FF,WHZZD0
WAT3FF,W5AAR1
WAT3FF,WJHHAA
WAT3FF,WE4QF0
WAT3FF,WJMMB0
WAT3FF,WAZ7C0
WAT3FF,WJFJAA
WAT3FF,WARNAA
WAT3FF,WAZ0A0
WAT3FF,WHZZAA
WAT3FF,WBVEB7
WAT3FF,WE00AA
WAT3FF,WBVET0
WAT3FF,WAJKAA
WAT3FF,WG81AA
WAT3FF,WFNLFF
WAT3FF,WD6EAA
WAT3FF,WE3VAA
WAT3FF,WJFJA0
WAT3FF,WBNNAA
WAT3FF,WAT399
WAT3FF,WKANAA
WAT3FF,WET1AA
WAT3AA,WAT395
WAT3AA,WAT3AA
WAT3AA,WAT399
WAT3AA,WAT3T0
WAT3AA,WAT3A0
WAT395,WAT395
