bin,n,selection_rate,mean_team_mean,arm,lambda
0,38,0.0,0.10516333252636645,lambda_0,0.0
1,37,0.0,0.18421584978937272,lambda_0,0.0
2,38,0.0,0.25478227791066965,lambda_0,0.0
3,37,0.0,0.30044857652633716,lambda_0,0.0
4,38,0.0,0.34705540876000623,lambda_0,0.0
5,37,0.0,0.4013374461886213,lambda_0,0.0
6,38,0.0,0.4411630465289908,lambda_0,0.0
7,37,0.0,0.48168563953024696,lambda_0,0.0
8,38,0.0,0.5217221827073784,lambda_0,0.0
9,37,0.0,0.5623760024311962,lambda_0,0.0
10,38,0.0,0.6079884288942133,lambda_0,0.0
11,37,0.0,0.6530895824076199,lambda_0,0.0
12,38,0.0,0.7132655295311243,lambda_0,0.0
13,37,0.0,0.7703504830231692,lambda_0,0.0
14,38,0.6052631578947368,0.8356790104894095,lambda_0,0.0
15,37,1.0,0.9087036150929754,lambda_0,0.0
