bin,n,selection_rate,mean_team_mean,arm,lambda
0,938,0.0,0.09834167363124136,lambda_1,1.0
1,937,0.0,0.18659010361340364,lambda_1,1.0
2,938,0.0,0.24743220005980202,lambda_1,1.0
3,937,0.0,0.3004561573504077,lambda_1,1.0
4,938,0.0,0.34891217329222574,lambda_1,1.0
5,937,0.0,0.3941890576830838,lambda_1,1.0
6,938,0.0,0.4360669381780979,lambda_1,1.0
7,937,0.45464247598719315,0.47833420819577016,lambda_1,1.0
8,938,1.0,0.5184448013353714,lambda_1,1.0
9,937,0.14514407684098185,0.5603787591262974,lambda_1,1.0
10,938,0.0,0.6032104961400284,lambda_1,1.0
11,937,0.0,0.6493317369435383,lambda_1,1.0
12,938,0.0,0.6983678474199757,lambda_1,1.0
13,937,0.0,0.7517642579604742,lambda_1,1.0
14,938,0.0,0.8131618972365953,lambda_1,1.0
15,937,0.0,0.9024189454246134,lambda_1,1.0
